"","Healthy_1W","Healthy_3W","Healthy_5W","Diabetic_1W","Diabetic_3W","Diabetic_5W","Trained_diabetic_1W","Trained_diabetic_3W","Trained_diabetic_5W","Trained_1W","Trained_3W","Trained_5W"
"100272_at",5.50887958786972,5.46583451658212,5.26661331414965,5.3715776545729,5.48085885935277,5.35359642056225,5.32890370831465,5.43897010153517,5.26704578805087,5.46917884004959,5.505881356411,5.6067743943953
"100277_at",6.23813792156989,5.93201665244537,5.86500784218323,5.97162898496134,6.01405090208234,5.85319128684074,6.08504981963964,5.99139544484647,5.78210995894413,6.03601613353917,6.06332591197713,5.83357708431981
"100278_at",5.07360861642818,5.11575990564045,5.07397702173131,5.21066708207844,4.9330589901482,5.02077589583585,5.26298198213139,5.13734781886944,5.04812191530454,5.06631458035684,5.25779261880727,5.00281762833651
"100279_at",5.5172842450657,5.38126427188351,5.29991441437567,5.47221580507014,5.48510754417119,5.08755231489206,5.52891847147172,5.37479095752764,5.20772908021088,5.4764381387233,5.47509203862277,5.41056784210859
"100280_at",5.56184057146494,5.42793220310222,5.24067593224443,5.51812833959276,5.35918238831728,5.21226555352986,5.50972483514242,5.54166127504688,5.23726027862169,5.4776806077294,5.50057399902931,5.35241211233108
"100281_at",5.44504139590438,5.44362989236177,5.39133068972694,5.39771122920494,5.4160591712466,5.32170909165919,5.52433216347727,5.3618746209595,5.33568703072907,5.33954398870591,5.47194064773095,5.4179517788726
"100282_at",7.20512533265359,6.93213726935691,6.94429766474917,6.96897065663314,6.96698048426032,6.78846967285623,7.04991585005014,6.99279818630499,6.90785703076676,7.14051754437837,7.08549506515008,7.00769251588101
"100283_at",6.73800642543035,6.68849742663623,6.62786879619606,6.73683238935129,6.75509764721317,6.54009546286432,6.81056558319159,6.8837668829541,6.77123380155344,6.80382569968458,6.90902285682006,6.85747309428076
"100284_at",5.21201721551374,4.9563382068605,4.86991042055459,5.07542529091264,5.08991268694282,4.76639678966661,5.13768563650692,5.18349713756366,4.88456905303293,5.07627528096824,5.07233021620754,5.01958196104449
"100285_at",5.22679251335486,4.93850020406042,4.95045766833749,4.92749421655501,4.96432717337189,4.69536625603779,4.89519973345093,4.85724929008064,4.95721678566499,5.01768775104297,5.14206498574995,5.026859317909
"100286_at",5.8213133774606,5.83936835631467,5.83199669908395,5.87233647557802,5.8367924882195,5.63934339706642,5.83836411884843,5.79429854848636,5.86072836970611,5.80134336572599,5.80433159216726,5.84882900776234
"100287_at",5.71356087691246,5.57592372148918,5.37851690139051,5.61646396307613,5.53637225773052,5.31428207345986,5.60879512618711,5.44288327737728,5.43641957254168,5.54777035992814,5.59878989682554,5.46920868404998
"100289_at",9.16867149394005,8.95005011724391,8.87493763650978,8.93423070093518,8.90306648421542,8.7245455233997,9.07192954575184,8.91896278229254,8.8377938412133,9.03722925548974,9.03243388688007,8.9269948213914
